76, 300.52171216511726
119, 64344.18932819862
147, 787725.9572421503
160, 602218.7468256998
168, 49904.95016390909
189, 1852322.3209387981
193, 802694.3335149665
195, 15139.134197402622
260, 10567.675563044679
262, 1173936.2990236292
295, 10.0
347, 29383.102969915275
376, 1520.8197992884047
397, 67741.57857316552
419, 91022.5761635666
496, 14396.041481826229
533, 18079.494955226226
548, 17196.1170960870
634, 6720.874380120369
671, 425558.5318238028
779, 2712.7888233932954
912, 340182.93190721923
999, 6790.703152406924
1016, 4811.8769665788295
1060, 317039.4382522015
1142, 278733.34837985394
1177, 6090.649649693717
1228, 121503.87345280866
1308, 33459.21074575538
1314, 2759.367243446484
1367, 2174.3472761254907
1631, 2366.7377338557158
1656, 10.0
1795, 1044040.253192837
1836, 387651.62240458117
1983, 1325099.7066821402
2040, 10693.975717646703
2052, 219531.64001565182
2147, 35409.51664128043
2162, 44481.78276952455
2197, 75894.21082555567
2247, 2331507.4670342365
2572, 9446.33186651504
2589, 19259.706320376143
2593, 364094.0003878139
2634, 209573.53826394625
2657, 599320.49483563734
2666, 115465.07870817382
2877, 10.0
3144, 30355.602957415314
3193, 10.0
3376, 11487.185094526481
3395, 76993.09346581073
3526, 13090.6936501405
3528, 40900.24053073094
3532, 431964.552375071
3554, 62915.79602501163
3556, 165064.98256322174
3558, 79229.4827558287
3559, 11034.359969297646
3562, 113322.34449403227
3564, 26227.182670118935
3565, 52370.31605241702
3571, 76865.37242862803
3574, 878.0492783508381
3656, 10.0
3676, 2369000.9944763575
3677, 248066.4498922679
3698, 123468.0981718286
3716, 6649.755723625554
3733, 1240566.8096380904
3736, 29738.04073776701
3742, 10.0
3744, 95890.36527632854
3747, 88148.31306639458
4038, 2207.902931563922
4049, 1862791.40578524134
4059, 1071027.349310364
